Pickup Location,Hour,Date,ride_count,DayOfWeek,IsWeekend,Pickup_loc_code
Area-22,13,28/01/2024,1,6,1,14
Area-22,14,01/01/2024,1,0,0,14
Area-22,14,07/01/2024,1,6,1,14
Area-22,14,20/01/2024,2,5,1,14
Area-22,14,22/01/2024,1,0,0,14
Area-22,15,05/01/2024,2,4,0,14
Area-22,15,07/01/2024,1,6,1,14
Area-22,15,09/01/2024,1,1,0,14
Area-22,15,10/01/2024,1,2,0,14
Area-22,15,11/01/2024,1,3,0,14
Area-22,15,12/01/2024,1,4,0,14
Area-22,15,15/01/2024,1,0,0,14
Area-22,15,16/01/2024,1,1,0,14
Area-22,15,17/01/2024,1,2,0,14
Area-22,16,02/01/2024,2,1,0,14
Area-22,16,07/01/2024,1,6,1,14
Area-22,16,11/01/2024,2,3,0,14
Area-22,16,13/01/2024,1,5,1,14
Area-22,16,21/01/2024,2,6,1,14
Area-22,16,24/01/2024,1,2,0,14
Area-22,16,26/01/2024,1,4,0,14
Area-22,16,30/01/2024,1,1,0,14
Area-22,17,02/01/2024,1,1,0,14
Area-22,17,03/01/2024,1,2,0,14
Area-22,17,06/01/2024,1,5,1,14
Area-22,17,13/01/2024,1,5,1,14
Area-22,17,20/01/2024,1,5,1,14
Area-22,17,25/01/2024,1,3,0,14
Area-22,17,28/01/2024,3,6,1,14
Area-22,17,29/01/2024,2,0,0,14
Area-22,18,01/01/2024,1,0,0,14
Area-22,18,07/01/2024,1,6,1,14
Area-22,18,11/01/2024,1,3,0,14
Area-22,18,12/01/2024,1,4,0,14
Area-22,18,13/01/2024,1,5,1,14
Area-22,18,17/01/2024,1,2,0,14
Area-22,18,19/01/2024,1,4,0,14
Area-22,18,20/01/2024,1,5,1,14
Area-22,18,21/01/2024,2,6,1,14
Area-22,18,22/01/2024,1,0,0,14
Area-22,18,24/01/2024,1,2,0,14
Area-22,18,29/01/2024,3,0,0,14
Area-22,19,03/01/2024,1,2,0,14
Area-22,19,04/01/2024,1,3,0,14
Area-22,19,05/01/2024,1,4,0,14
Area-22,19,06/01/2024,1,5,1,14
Area-22,19,10/01/2024,1,2,0,14
Area-22,19,11/01/2024,1,3,0,14
Area-22,19,14/01/2024,1,6,1,14
Area-22,19,23/01/2024,1,1,0,14
Area-22,19,26/01/2024,1,4,0,14
Area-22,19,29/01/2024,1,0,0,14
Area-22,20,02/01/2024,1,1,0,14
Area-22,20,03/01/2024,1,2,0,14
Area-22,20,04/01/2024,1,3,0,14
Area-22,20,05/01/2024,1,4,0,14
Area-22,20,07/01/2024,2,6,1,14
Area-22,20,08/01/2024,2,0,0,14
Area-22,20,11/01/2024,1,3,0,14
Area-22,20,12/01/2024,2,4,0,14
Area-22,20,13/01/2024,1,5,1,14
Area-22,20,15/01/2024,1,0,0,14
Area-22,20,21/01/2024,1,6,1,14
Area-22,20,24/01/2024,1,2,0,14
Area-22,20,26/01/2024,1,4,0,14
Area-22,20,27/01/2024,1,5,1,14
Area-22,20,29/01/2024,1,0,0,14
Area-22,20,30/01/2024,1,1,0,14
Area-22,21,02/01/2024,1,1,0,14
Area-22,21,14/01/2024,1,6,1,14
Area-22,21,17/01/2024,1,2,0,14
Area-22,21,18/01/2024,1,3,0,14
Area-22,21,20/01/2024,1,5,1,14
Area-22,21,23/01/2024,1,1,0,14
Area-22,21,25/01/2024,1,3,0,14
Area-22,21,26/01/2024,1,4,0,14
Area-22,21,27/01/2024,1,5,1,14
Area-22,21,29/01/2024,1,0,0,14
Area-22,22,01/01/2024,1,0,0,14
Area-22,22,03/01/2024,1,2,0,14
Area-22,22,04/01/2024,1,3,0,14
Area-22,22,06/01/2024,1,5,1,14
Area-22,22,12/01/2024,3,4,0,14
Area-22,22,16/01/2024,1,1,0,14
Area-22,22,17/01/2024,1,2,0,14
Area-22,22,18/01/2024,1,3,0,14
Area-22,22,20/01/2024,1,5,1,14
Area-22,22,21/01/2024,1,6,1,14
Area-22,22,23/01/2024,1,1,0,14
Area-22,22,27/01/2024,1,5,1,14
Area-22,22,29/01/2024,1,0,0,14
Area-22,23,01/01/2024,2,0,0,14
Area-22,23,02/01/2024,1,1,0,14
Area-22,23,05/01/2024,2,4,0,14
Area-22,23,06/01/2024,1,5,1,14
Area-22,23,10/01/2024,1,2,0,14
Area-22,23,18/01/2024,1,3,0,14
Area-22,23,20/01/2024,1,5,1,14
Area-22,23,26/01/2024,1,4,0,14
Area-22,23,30/01/2024,1,1,0,14
Area-23,0,02/01/2024,1,1,0,15
Area-23,0,03/01/2024,1,2,0,15
Area-23,0,05/01/2024,1,4,0,15
Area-23,0,06/01/2024,2,5,1,15
Area-23,0,08/01/2024,1,0,0,15
Area-23,0,10/01/2024,1,2,0,15
Area-23,0,14/01/2024,1,6,1,15
Area-23,0,15/01/2024,2,0,0,15
Area-23,0,20/01/2024,1,5,1,15
Area-23,0,23/01/2024,1,1,0,15
Area-23,0,28/01/2024,1,6,1,15
Area-23,1,03/01/2024,1,2,0,15
Area-23,1,05/01/2024,1,4,0,15
Area-23,1,07/01/2024,1,6,1,15
Area-23,1,08/01/2024,1,0,0,15
Area-23,1,09/01/2024,1,1,0,15
Area-23,1,15/01/2024,1,0,0,15
Area-23,1,16/01/2024,1,1,0,15
Area-23,1,18/01/2024,1,3,0,15
Area-23,1,19/01/2024,2,4,0,15
Area-23,1,27/01/2024,3,5,1,15
Area-23,1,28/01/2024,2,6,1,15
Area-23,2,06/01/2024,1,5,1,15
Area-23,2,07/01/2024,1,6,1,15
Area-23,2,08/01/2024,1,0,0,15
Area-23,2,10/01/2024,1,2,0,15
Area-23,2,12/01/2024,2,4,0,15
Area-23,2,13/01/2024,1,5,1,15
Area-23,2,14/01/2024,2,6,1,15
Area-23,2,16/01/2024,2,1,0,15
Area-23,2,18/01/2024,1,3,0,15
Area-23,2,20/01/2024,1,5,1,15
Area-23,2,21/01/2024,1,6,1,15
Area-23,2,23/01/2024,3,1,0,15
Area-23,2,27/01/2024,2,5,1,15
Area-23,2,29/01/2024,1,0,0,15
Area-23,3,06/01/2024,1,5,1,15
Area-23,3,08/01/2024,1,0,0,15
Area-23,3,09/01/2024,1,1,0,15
Area-23,3,12/01/2024,1,4,0,15
Area-23,3,13/01/2024,1,5,1,15
Area-23,3,19/01/2024,1,4,0,15
Area-23,3,21/01/2024,1,6,1,15
Area-23,3,24/01/2024,2,2,0,15
Area-23,3,27/01/2024,2,5,1,15
Area-23,4,05/01/2024,1,4,0,15
Area-23,4,06/01/2024,1,5,1,15
Area-23,4,09/01/2024,1,1,0,15
Area-23,4,13/01/2024,1,5,1,15
Area-23,4,15/01/2024,1,0,0,15
Area-23,4,22/01/2024,1,0,0,15
Area-23,4,26/01/2024,1,4,0,15
Area-23,5,05/01/2024,1,4,0,15
Area-23,5,06/01/2024,1,5,1,15
Area-23,5,09/01/2024,1,1,0,15
Area-23,5,14/01/2024,1,6,1,15
Area-23,5,17/01/2024,1,2,0,15
Area-23,5,19/01/2024,2,4,0,15
Area-23,5,23/01/2024,1,1,0,15
Area-23,5,24/01/2024,1,2,0,15
Area-23,6,01/01/2024,2,0,0,15
Area-23,6,07/01/2024,1,6,1,15
Area-23,6,17/01/2024,1,2,0,15
Area-23,6,18/01/2024,1,3,0,15
Area-23,6,24/01/2024,2,2,0,15
Area-23,6,26/01/2024,1,4,0,15
Area-23,6,27/01/2024,1,5,1,15
Area-23,6,29/01/2024,1,0,0,15
Area-23,7,05/01/2024,2,4,0,15
Area-23,7,07/01/2024,2,6,1,15
Area-23,7,10/01/2024,1,2,0,15
Area-23,7,11/01/2024,1,3,0,15
Area-23,7,19/01/2024,1,4,0,15
Area-23,7,20/01/2024,1,5,1,15
Area-23,7,23/01/2024,1,1,0,15
Area-23,8,01/01/2024,1,0,0,15
Area-23,8,04/01/2024,1,3,0,15
Area-23,8,05/01/2024,1,4,0,15
Area-23,8,06/01/2024,1,5,1,15
Area-23,8,07/01/2024,1,6,1,15
Area-23,8,12/01/2024,1,4,0,15
Area-23,8,13/01/2024,1,5,1,15
Area-23,8,19/01/2024,1,4,0,15
Area-23,8,20/01/2024,1,5,1,15
Area-23,8,25/01/2024,1,3,0,15
Area-23,8,29/01/2024,2,0,0,15
Area-23,8,30/01/2024,2,1,0,15
Area-23,9,03/01/2024,1,2,0,15
Area-23,9,04/01/2024,1,3,0,15
Area-23,9,05/01/2024,1,4,0,15
Area-23,9,12/01/2024,2,4,0,15
Area-23,9,13/01/2024,1,5,1,15
Area-23,9,15/01/2024,1,0,0,15
Area-23,9,17/01/2024,1,2,0,15
Area-23,9,18/01/2024,1,3,0,15
Area-23,9,25/01/2024,1,3,0,15
Area-23,9,28/01/2024,1,6,1,15
Area-23,10,01/01/2024,1,0,0,15
Area-23,10,10/01/2024,1,2,0,15
Area-23,10,11/01/2024,1,3,0,15
Area-23,10,16/01/2024,2,1,0,15
Area-23,10,18/01/2024,2,3,0,15
Area-23,10,20/01/2024,1,5,1,15
Area-23,10,21/01/2024,1,6,1,15
Area-23,10,23/01/2024,1,1,0,15
Area-23,10,24/01/2024,1,2,0,15
Area-23,10,27/01/2024,1,5,1,15
Area-23,10,29/01/2024,1,0,0,15
Area-23,11,01/01/2024,2,0,0,15
Area-23,11,05/01/2024,1,4,0,15
Area-23,11,07/01/2024,1,6,1,15
Area-23,11,09/01/2024,1,1,0,15
Area-23,11,11/01/2024,2,3,0,15
Area-23,11,12/01/2024,1,4,0,15
Area-23,11,14/01/2024,1,6,1,15
Area-23,11,16/01/2024,1,1,0,15
Area-23,11,23/01/2024,1,1,0,15
Area-23,11,25/01/2024,1,3,0,15
Area-23,11,27/01/2024,1,5,1,15
Area-23,12,01/01/2024,1,0,0,15
Area-23,12,05/01/2024,1,4,0,15
Area-23,12,11/01/2024,1,3,0,15
Area-23,12,17/01/2024,1,2,0,15
Area-23,12,20/01/2024,1,5,1,15
Area-23,12,22/01/2024,1,0,0,15
Area-23,12,23/01/2024,1,1,0,15
Area-23,12,25/01/2024,2,3,0,15
Area-23,13,02/01/2024,1,1,0,15
Area-23,13,04/01/2024,1,3,0,15
Area-23,13,05/01/2024,1,4,0,15
Area-23,13,07/01/2024,1,6,1,15
Area-23,13,10/01/2024,1,2,0,15
Area-23,13,12/01/2024,1,4,0,15
Area-23,13,18/01/2024,1,3,0,15
Area-23,13,19/01/2024,1,4,0,15
Area-23,13,20/01/2024,1,5,1,15
Area-23,13,21/01/2024,1,6,1,15
Area-23,13,24/01/2024,1,2,0,15
Area-23,13,25/01/2024,1,3,0,15
Area-23,13,26/01/2024,1,4,0,15
Area-23,13,28/01/2024,1,6,1,15
Area-23,14,04/01/2024,1,3,0,15
Area-23,14,06/01/2024,1,5,1,15
Area-23,14,10/01/2024,3,2,0,15
Area-23,14,11/01/2024,1,3,0,15
Area-23,14,12/01/2024,1,4,0,15
Area-23,14,13/01/2024,1,5,1,15
Area-23,14,17/01/2024,1,2,0,15
Area-23,14,29/01/2024,2,0,0,15
Area-23,14,30/01/2024,1,1,0,15
Area-23,15,01/01/2024,1,0,0,15
Area-23,15,02/01/2024,1,1,0,15
Area-23,15,06/01/2024,1,5,1,15
Area-23,15,07/01/2024,2,6,1,15
Area-23,15,16/01/2024,1,1,0,15
Area-23,15,17/01/2024,1,2,0,15
Area-23,15,23/01/2024,1,1,0,15
Area-23,15,25/01/2024,2,3,0,15
Area-23,15,27/01/2024,1,5,1,15
Area-23,16,01/01/2024,1,0,0,15
Area-23,16,04/01/2024,1,3,0,15
Area-23,16,05/01/2024,1,4,0,15
Area-23,16,06/01/2024,1,5,1,15
Area-23,16,08/01/2024,1,0,0,15
Area-23,16,10/01/2024,1,2,0,15
Area-23,16,11/01/2024,1,3,0,15
Area-23,16,13/01/2024,1,5,1,15
Area-23,16,16/01/2024,1,1,0,15
Area-23,16,17/01/2024,1,2,0,15
Area-23,16,18/01/2024,1,3,0,15
Area-23,16,19/01/2024,1,4,0,15
Area-23,16,20/01/2024,1,5,1,15
Area-23,16,23/01/2024,2,1,0,15
Area-23,16,25/01/2024,1,3,0,15
Area-23,16,30/01/2024,1,1,0,15
Area-23,17,03/01/2024,1,2,0,15
Area-23,17,06/01/2024,1,5,1,15
Area-23,17,07/01/2024,1,6,1,15
Area-23,17,08/01/2024,1,0,0,15
Area-23,17,11/01/2024,1,3,0,15
Area-23,17,22/01/2024,1,0,0,15
Area-23,17,23/01/2024,2,1,0,15
Area-23,17,26/01/2024,2,4,0,15
Area-23,18,03/01/2024,2,2,0,15
Area-23,18,04/01/2024,1,3,0,15
Area-23,18,05/01/2024,1,4,0,15
Area-23,18,07/01/2024,1,6,1,15
Area-23,18,08/01/2024,1,0,0,15
Area-23,18,19/01/2024,1,4,0,15
Area-23,18,20/01/2024,1,5,1,15
Area-23,18,21/01/2024,2,6,1,15
Area-23,18,24/01/2024,2,2,0,15
Area-23,18,26/01/2024,1,4,0,15
Area-23,18,27/01/2024,1,5,1,15
Area-23,18,28/01/2024,1,6,1,15
Area-23,19,01/01/2024,1,0,0,15
Area-23,19,03/01/2024,1,2,0,15
Area-23,19,07/01/2024,1,6,1,15
Area-23,19,10/01/2024,1,2,0,15
Area-23,19,14/01/2024,2,6,1,15
Area-23,19,16/01/2024,1,1,0,15
Area-23,19,18/01/2024,1,3,0,15
Area-23,19,19/01/2024,1,4,0,15
Area-23,19,27/01/2024,1,5,1,15
Area-23,20,01/01/2024,1,0,0,15
Area-23,20,04/01/2024,1,3,0,15
Area-23,20,10/01/2024,1,2,0,15
Area-23,20,19/01/2024,1,4,0,15
Area-23,20,23/01/2024,1,1,0,15
Area-23,20,24/01/2024,2,2,0,15
Area-23,20,28/01/2024,1,6,1,15
Area-23,20,29/01/2024,1,0,0,15
Area-23,21,01/01/2024,2,0,0,15
Area-23,21,06/01/2024,1,5,1,15
Area-23,21,07/01/2024,2,6,1,15
Area-23,21,08/01/2024,1,0,0,15
Area-23,21,10/01/2024,1,2,0,15
Area-23,21,16/01/2024,3,1,0,15
Area-23,21,18/01/2024,1,3,0,15
Area-23,21,23/01/2024,1,1,0,15
Area-23,21,24/01/2024,1,2,0,15
Area-23,21,28/01/2024,1,6,1,15
Area-23,21,29/01/2024,1,0,0,15
Area-23,21,30/01/2024,1,1,0,15
Area-23,22,08/01/2024,1,0,0,15
Area-23,22,11/01/2024,1,3,0,15
Area-23,22,12/01/2024,2,4,0,15
Area-23,22,13/01/2024,2,5,1,15
Area-23,22,17/01/2024,2,2,0,15
Area-23,22,18/01/2024,1,3,0,15
Area-23,22,22/01/2024,2,0,0,15
Area-23,22,30/01/2024,1,1,0,15
Area-23,23,05/01/2024,1,4,0,15
Area-23,23,09/01/2024,1,1,0,15
Area-23,23,12/01/2024,1,4,0,15
Area-23,23,13/01/2024,1,5,1,15
Area-23,23,14/01/2024,1,6,1,15
Area-23,23,18/01/2024,1,3,0,15
Area-23,23,22/01/2024,1,0,0,15
Area-23,23,23/01/2024,1,1,0,15
Area-24,0,02/01/2024,2,1,0,16
Area-24,0,03/01/2024,1,2,0,16
Area-24,0,11/01/2024,2,3,0,16
Area-24,0,14/01/2024,1,6,1,16
Area-24,0,21/01/2024,1,6,1,16
Area-24,0,26/01/2024,1,4,0,16
Area-24,0,27/01/2024,2,5,1,16
Area-24,0,31/01/2024,1,2,0,16
Area-24,1,03/01/2024,1,2,0,16
Area-24,1,06/01/2024,1,5,1,16
Area-24,1,07/01/2024,1,6,1,16
Area-24,1,08/01/2024,1,0,0,16
Area-24,1,09/01/2024,1,1,0,16
Area-24,1,16/01/2024,1,1,0,16
Area-24,1,20/01/2024,1,5,1,16
Area-24,1,21/01/2024,1,6,1,16
Area-24,1,25/01/2024,3,3,0,16
Area-24,1,26/01/2024,2,4,0,16
Area-24,1,28/01/2024,1,6,1,16
Area-24,1,29/01/2024,1,0,0,16
Area-24,1,30/01/2024,1,1,0,16
Area-24,2,02/01/2024,2,1,0,16
Area-24,2,07/01/2024,1,6,1,16
Area-24,2,08/01/2024,1,0,0,16
Area-24,2,15/01/2024,1,0,0,16
Area-24,2,18/01/2024,1,3,0,16
Area-24,2,19/01/2024,1,4,0,16
Area-24,2,22/01/2024,1,0,0,16
Area-24,2,24/01/2024,1,2,0,16
Area-24,2,28/01/2024,1,6,1,16
Area-24,2,29/01/2024,1,0,0,16
Area-24,2,30/01/2024,1,1,0,16
Area-24,3,03/01/2024,2,2,0,16
Area-24,3,04/01/2024,3,3,0,16
Area-24,3,12/01/2024,1,4,0,16
Area-24,3,14/01/2024,1,6,1,16
Area-24,3,19/01/2024,2,4,0,16
Area-24,3,20/01/2024,1,5,1,16
Area-24,3,24/01/2024,1,2,0,16
Area-24,3,26/01/2024,1,4,0,16
Area-24,3,29/01/2024,1,0,0,16
Area-24,4,02/01/2024,1,1,0,16
Area-24,4,03/01/2024,1,2,0,16
Area-24,4,12/01/2024,1,4,0,16
Area-24,4,14/01/2024,1,6,1,16
Area-24,4,15/01/2024,2,0,0,16
Area-24,4,23/01/2024,1,1,0,16
Area-24,4,25/01/2024,1,3,0,16
Area-24,4,27/01/2024,1,5,1,16
Area-24,5,02/01/2024,1,1,0,16
Area-24,5,04/01/2024,1,3,0,16
Area-24,5,09/01/2024,1,1,0,16
Area-24,5,13/01/2024,2,5,1,16
Area-24,5,17/01/2024,1,2,0,16
Area-24,5,19/01/2024,2,4,0,16
Area-24,5,24/01/2024,1,2,0,16
Area-24,5,25/01/2024,2,3,0,16
Area-24,5,30/01/2024,1,1,0,16
Area-24,6,01/01/2024,3,0,0,16
Area-24,6,15/01/2024,1,0,0,16
Area-24,6,17/01/2024,1,2,0,16
Area-24,6,21/01/2024,1,6,1,16
Area-24,6,24/01/2024,1,2,0,16
Area-24,6,25/01/2024,1,3,0,16
Area-24,6,28/01/2024,1,6,1,16
Area-24,6,29/01/2024,1,0,0,16
Area-24,6,30/01/2024,1,1,0,16
Area-24,7,01/01/2024,1,0,0,16
Area-24,7,03/01/2024,1,2,0,16
Area-24,7,05/01/2024,2,4,0,16
Area-24,7,07/01/2024,1,6,1,16
Area-24,7,09/01/2024,1,1,0,16
Area-24,7,10/01/2024,1,2,0,16
Area-24,7,11/01/2024,1,3,0,16
Area-24,7,12/01/2024,1,4,0,16
Area-24,7,13/01/2024,1,5,1,16
Area-24,7,14/01/2024,1,6,1,16
Area-24,7,25/01/2024,1,3,0,16
Area-24,7,26/01/2024,1,4,0,16
Area-24,7,29/01/2024,1,0,0,16
Area-24,8,02/01/2024,2,1,0,16
Area-24,8,04/01/2024,1,3,0,16
Area-24,8,06/01/2024,2,5,1,16
Area-24,8,07/01/2024,1,6,1,16
Area-24,8,14/01/2024,1,6,1,16
Area-24,8,15/01/2024,1,0,0,16
Area-24,8,17/01/2024,1,2,0,16
Area-24,8,18/01/2024,1,3,0,16
Area-24,8,27/01/2024,1,5,1,16
Area-24,8,28/01/2024,1,6,1,16
Area-24,9,06/01/2024,1,5,1,16
Area-24,9,07/01/2024,1,6,1,16
Area-24,9,08/01/2024,2,0,0,16
Area-24,9,13/01/2024,1,5,1,16
Area-24,9,16/01/2024,1,1,0,16
Area-24,9,18/01/2024,1,3,0,16
Area-24,9,24/01/2024,3,2,0,16
Area-24,10,05/01/2024,1,4,0,16
Area-24,10,07/01/2024,1,6,1,16
Area-24,10,12/01/2024,1,4,0,16
Area-24,10,13/01/2024,1,5,1,16
Area-24,10,15/01/2024,1,0,0,16
Area-24,10,16/01/2024,1,1,0,16
Area-24,10,19/01/2024,1,4,0,16
Area-24,10,25/01/2024,1,3,0,16
Area-24,10,28/01/2024,1,6,1,16
Area-24,11,02/01/2024,1,1,0,16
Area-24,11,11/01/2024,1,3,0,16
Area-24,11,15/01/2024,1,0,0,16
Area-24,11,17/01/2024,2,2,0,16
Area-24,11,24/01/2024,1,2,0,16
Area-24,11,26/01/2024,1,4,0,16
Area-24,11,29/01/2024,1,0,0,16
Area-24,12,08/01/2024,1,0,0,16
Area-24,12,11/01/2024,1,3,0,16
Area-24,12,17/01/2024,2,2,0,16
Area-24,12,20/01/2024,1,5,1,16
Area-24,12,21/01/2024,2,6,1,16
Area-24,12,22/01/2024,1,0,0,16
Area-24,12,23/01/2024,2,1,0,16
Area-24,13,02/01/2024,2,1,0,16
Area-24,13,03/01/2024,1,2,0,16
Area-24,13,06/01/2024,1,5,1,16
Area-24,13,07/01/2024,1,6,1,16
Area-24,13,08/01/2024,1,0,0,16
Area-24,13,09/01/2024,1,1,0,16
Area-24,13,10/01/2024,1,2,0,16
Area-24,13,11/01/2024,1,3,0,16
Area-24,13,16/01/2024,1,1,0,16
Area-24,13,18/01/2024,1,3,0,16
Area-24,13,23/01/2024,3,1,0,16
Area-24,13,24/01/2024,1,2,0,16
Area-24,13,30/01/2024,1,1,0,16
Area-24,14,06/01/2024,3,5,1,16
Area-24,14,09/01/2024,1,1,0,16
Area-24,14,16/01/2024,1,1,0,16
Area-24,14,17/01/2024,2,2,0,16
Area-24,14,19/01/2024,1,4,0,16
Area-24,14,21/01/2024,1,6,1,16
Area-24,14,30/01/2024,1,1,0,16
Area-24,15,04/01/2024,1,3,0,16
Area-24,15,05/01/2024,1,4,0,16
Area-24,15,09/01/2024,1,1,0,16
Area-24,15,11/01/2024,1,3,0,16
Area-24,15,12/01/2024,2,4,0,16
Area-24,15,16/01/2024,1,1,0,16
Area-24,15,18/01/2024,1,3,0,16
Area-24,15,19/01/2024,1,4,0,16
Area-24,15,30/01/2024,1,1,0,16
Area-24,16,01/01/2024,1,0,0,16
Area-24,16,02/01/2024,1,1,0,16
Area-24,16,04/01/2024,1,3,0,16
Area-24,16,08/01/2024,2,0,0,16
Area-24,16,09/01/2024,1,1,0,16
Area-24,16,10/01/2024,1,2,0,16
Area-24,16,15/01/2024,1,0,0,16
Area-24,16,18/01/2024,1,3,0,16
Area-24,16,20/01/2024,1,5,1,16
Area-24,16,28/01/2024,1,6,1,16
Area-24,16,30/01/2024,2,1,0,16
Area-24,17,02/01/2024,1,1,0,16
Area-24,17,08/01/2024,1,0,0,16
Area-24,17,10/01/2024,1,2,0,16
Area-24,17,13/01/2024,1,5,1,16
Area-24,17,14/01/2024,1,6,1,16
Area-24,17,15/01/2024,2,0,0,16
Area-24,17,17/01/2024,1,2,0,16
Area-24,17,18/01/2024,1,3,0,16
Area-24,17,27/01/2024,1,5,1,16
Area-24,17,29/01/2024,1,0,0,16
Area-24,18,01/01/2024,1,0,0,16
Area-24,18,02/01/2024,2,1,0,16
Area-24,18,03/01/2024,1,2,0,16
Area-24,18,05/01/2024,2,4,0,16
Area-24,18,08/01/2024,1,0,0,16
Area-24,18,11/01/2024,1,3,0,16
Area-24,18,18/01/2024,1,3,0,16
Area-24,18,20/01/2024,1,5,1,16
Area-24,18,23/01/2024,1,1,0,16
Area-24,18,25/01/2024,1,3,0,16
Area-24,18,26/01/2024,3,4,0,16
Area-24,18,29/01/2024,1,0,0,16
Area-24,18,30/01/2024,1,1,0,16
Area-24,19,01/01/2024,1,0,0,16
Area-24,19,03/01/2024,1,2,0,16
Area-24,19,04/01/2024,1,3,0,16
Area-24,19,06/01/2024,1,5,1,16
Area-24,19,07/01/2024,1,6,1,16
Area-24,19,08/01/2024,1,0,0,16
Area-24,19,10/01/2024,1,2,0,16
Area-24,19,12/01/2024,1,4,0,16
Area-24,19,14/01/2024,2,6,1,16
Area-24,19,17/01/2024,1,2,0,16
Area-24,19,27/01/2024,1,5,1,16
Area-24,19,29/01/2024,1,0,0,16
Area-24,20,02/01/2024,2,1,0,16
Area-24,20,03/01/2024,1,2,0,16
Area-24,20,07/01/2024,1,6,1,16
Area-24,20,08/01/2024,4,0,0,16
Area-24,20,13/01/2024,1,5,1,16
Area-24,20,15/01/2024,2,0,0,16
Area-24,20,16/01/2024,1,1,0,16
Area-24,20,25/01/2024,1,3,0,16
Area-24,21,02/01/2024,1,1,0,16
Area-24,21,05/01/2024,1,4,0,16
Area-24,21,07/01/2024,1,6,1,16
Area-24,21,10/01/2024,3,2,0,16
Area-24,21,13/01/2024,1,5,1,16
Area-24,21,14/01/2024,1,6,1,16
Area-24,21,18/01/2024,1,3,0,16
Area-24,21,25/01/2024,1,3,0,16
Area-24,21,27/01/2024,1,5,1,16
Area-24,21,28/01/2024,1,6,1,16
Area-24,22,02/01/2024,1,1,0,16
Area-24,22,03/01/2024,1,2,0,16
Area-24,22,05/01/2024,2,4,0,16
Area-24,22,06/01/2024,2,5,1,16
Area-24,22,09/01/2024,2,1,0,16
Area-24,22,11/01/2024,2,3,0,16
Area-24,22,12/01/2024,1,4,0,16
Area-24,22,14/01/2024,1,6,1,16
Area-24,22,18/01/2024,1,3,0,16
Area-24,22,20/01/2024,1,5,1,16
Area-24,22,24/01/2024,1,2,0,16
Area-24,22,26/01/2024,1,4,0,16
Area-24,23,01/01/2024,1,0,0,16
Area-24,23,04/01/2024,1,3,0,16
Area-24,23,10/01/2024,2,2,0,16
Area-24,23,11/01/2024,2,3,0,16
Area-24,23,12/01/2024,1,4,0,16
Area-24,23,13/01/2024,1,5,1,16
Area-24,23,14/01/2024,1,6,1,16
Area-24,23,17/01/2024,1,2,0,16
Area-24,23,19/01/2024,1,4,0,16
Area-24,23,23/01/2024,1,1,0,16
Area-24,23,27/01/2024,1,5,1,16
Area-24,23,29/01/2024,1,0,0,16
Area-24,23,30/01/2024,1,1,0,16
Area-25,0,01/01/2024,1,0,0,17
Area-25,0,06/01/2024,1,5,1,17
Area-25,0,09/01/2024,2,1,0,17
Area-25,0,10/01/2024,1,2,0,17
Area-25,0,13/01/2024,2,5,1,17
Area-25,0,15/01/2024,1,0,0,17
Area-25,0,18/01/2024,1,3,0,17
Area-25,0,20/01/2024,1,5,1,17
Area-25,0,23/01/2024,1,1,0,17
Area-25,0,26/01/2024,2,4,0,17
Area-25,0,28/01/2024,1,6,1,17
Area-25,1,04/01/2024,2,3,0,17
Area-25,1,08/01/2024,1,0,0,17
Area-25,1,09/01/2024,1,1,0,17
Area-25,1,10/01/2024,1,2,0,17
Area-25,1,11/01/2024,1,3,0,17
Area-25,1,12/01/2024,1,4,0,17
Area-25,1,17/01/2024,1,2,0,17
Area-25,1,18/01/2024,1,3,0,17
Area-25,1,21/01/2024,1,6,1,17
Area-25,1,22/01/2024,1,0,0,17
Area-25,1,27/01/2024,1,5,1,17
Area-25,1,30/01/2024,1,1,0,17
Area-25,2,05/01/2024,1,4,0,17
Area-25,2,07/01/2024,1,6,1,17
Area-25,2,08/01/2024,1,0,0,17
Area-25,2,12/01/2024,1,4,0,17
Area-25,2,14/01/2024,1,6,1,17
Area-25,2,16/01/2024,1,1,0,17
Area-25,2,19/01/2024,1,4,0,17
Area-25,2,20/01/2024,2,5,1,17
Area-25,2,22/01/2024,1,0,0,17
Area-25,2,24/01/2024,1,2,0,17
Area-25,2,25/01/2024,1,3,0,17
Area-25,2,28/01/2024,1,6,1,17
Area-25,2,30/01/2024,1,1,0,17
Area-25,3,01/01/2024,1,0,0,17
Area-25,3,06/01/2024,1,5,1,17
Area-25,3,07/01/2024,1,6,1,17
Area-25,3,08/01/2024,1,0,0,17
Area-25,3,10/01/2024,1,2,0,17
Area-25,3,13/01/2024,1,5,1,17
Area-25,3,15/01/2024,1,0,0,17
Area-25,3,16/01/2024,1,1,0,17
Area-25,3,19/01/2024,1,4,0,17
Area-25,3,23/01/2024,1,1,0,17
Area-25,3,24/01/2024,1,2,0,17
Area-25,3,27/01/2024,2,5,1,17
Area-25,3,29/01/2024,2,0,0,17
Area-25,3,30/01/2024,1,1,0,17
Area-25,4,02/01/2024,1,1,0,17
Area-25,4,04/01/2024,1,3,0,17
Area-25,4,05/01/2024,1,4,0,17
Area-25,4,08/01/2024,1,0,0,17
Area-25,4,14/01/2024,1,6,1,17
Area-25,4,17/01/2024,1,2,0,17
